team_ids,teamName,deployRoster,Bench
T001,Gambit Is A Pretty Pretty Princess,"Rogue,Domino,Magik,Colossus,Gambit,Doctor Strange,Emma Frost,Jean Grey (Phoenix)","Hawkeye,Quicksilver,Shang-Chi,Venom"
T002,Costco Wholesale,"Iron Man,Nova,Spider-Man (Parker),Super-Skrull,Brawn (Totally Awesome Hulk),The Wasp,Forge,Hulkling (Teddy Altman)","Brother Voodoo,Invisible Woman,Punisher,Wiccan"
T003,Sterling's Silly Soldiers,"Synch,Bishop,Magneto,Hulk,Psylocke,Cloak,Dagger,Scarlet Witch","Carnage,Ironheart,Moonstar,Smasher"
T004,Dumb and Dumber Returns,"Captain Marvel,Iron Fist,Drax the Destroyer,Morph,Star Brand,The Thing,Doctor Octopus,Silver Surfer","Black Panther (T'Challa),Ghost Spider (Spider-Gwen),Moon Knight,Professor X"
T005,Ligmasigma II,"Doctor Doom,Black Bolt,Gladiator,Beta Ray Bill,Exodus,Darwin,Proteus,Sentry","Guardian,Jocasta,Nimrod,Taskmaster"
T006,Pigeon Desk,"Thor,Deadpool,Wolverine,She-Hulk,Iceman,Rocket Racoon,Kid Omega,Wonder Man","Ant-Man,Deathlok,Gamora,Kang the Conqueror"
T007,Agents of Vishanti,"Captain America (Rogers),Spider-Man (Morales),Wolverine / X-23,The Human Torch,Mr. Fantastic,Xorn,Ghost Rider,Blue Marvel","Adam Warlock,Nebula,Nick Fury,Nightcrawler"
T008,Slow And Threatening,"Sage,Vision,Juggernaut,Ultron,Daredevil,Thor (Jane Foster),Apocalypse,Warlock","Beast,Cable,Spider-Woman,War Machine"
T009,Amber,"Cyclops,Elixir,Storm,Valkyrie,Black Panther (Shuri),Marvel Girl,Blade,Hyperion","Black Cat,Black Widow,Danger,Namor (The Sub-Mariner)"
T010,"Your honor, we were just being silly","Spectrum,Quake,Groot,Sunspot,Loki,Mystique,Nico Minoru,Agatha Harkness","Echo,Jubilee,Polaris,Squirrel Girl"